Country,Connection,Patient Organization,Hospital/Dr,P - Tranexamic Acid,P - Danazol,P - Cinryze,P - Takhzyro,P - Orladeyo,P- Haegarda,A - Firazyr,A - Generic Icatibant,A - Berinert,A - Kalbitor,A - Ruconest,A - FFP,Source,Region
Algeria,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/algeria/,Africa
Benin,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Egypt,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/egypt/,Africa
Ethiopia,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Kenya,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,https://haei.org/hae-member-countries/kenya/,Africa
Libya,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/libya/,Africa
Mauritania,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Morocco,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/morocco/,Africa
Namibia,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Nigeria,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Rwanda,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Senegal,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
South Africa,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,https://haei.org/hae-member-countries/south-africa/,Africa
Sudan,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,https://haei.org/about-haei/globally/,Africa
Swaziland,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Tanzania,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Tunisia,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/hae-member-countries/tunisia/,Africa
Uganda,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Yemen,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Zambia,Yes,No,NA,No,No,No,No,No,No,No,No,No,No,No,No,https://haei.org/about-haei/globally/,Africa
Zimbabwe,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,https://haei.org/about-haei/globally/,Africa
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Congo - Brazzaville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Congo - Kinshasa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Equitorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Guniea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Guniea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
Mauritius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://haei.org/about-haei/globally/,Africa
